symbol,status,baseAsset,baseAssetPrecision,quoteAsset,quotePrecision,quoteAssetPrecision,icebergAllowed,ocoAllowed,isSpotTradingAllowed,isMarginTradingAllowed
ETHBTC,TRADING,ETH,8,BTC,8,8,True,True,True,True
LTCBTC,TRADING,LTC,8,BTC,8,8,True,True,True,True
BNBBTC,TRADING,BNB,8,BTC,8,8,True,True,True,True
NEOBTC,TRADING,NEO,8,BTC,8,8,True,True,True,True
QTUMETH,TRADING,QTUM,8,ETH,8,8,True,True,True,False
EOSETH,TRADING,EOS,8,ETH,8,8,True,True,True,True
SNTETH,TRADING,SNT,8,ETH,8,8,True,True,True,False
BNTETH,TRADING,BNT,8,ETH,8,8,True,True,True,False
BCCBTC,BREAK,BCC,8,BTC,8,8,True,True,True,False
GASBTC,TRADING,GAS,8,BTC,8,8,True,True,True,False
BNBETH,TRADING,BNB,8,ETH,8,8,True,True,True,True
BTCUSDT,TRADING,BTC,8,USDT,8,8,True,True,True,True
ETHUSDT,TRADING,ETH,8,USDT,8,8,True,True,True,True
HSRBTC,BREAK,HSR,8,BTC,8,8,True,True,True,False
OAXETH,BREAK,OAX,8,ETH,8,8,True,True,True,False
DNTETH,BREAK,DNT,8,ETH,8,8,True,True,True,False
MCOETH,BREAK,MCO,8,ETH,8,8,True,True,True,False
ICNETH,BREAK,ICN,8,ETH,8,8,True,True,True,False
MCOBTC,BREAK,MCO,8,BTC,8,8,True,True,True,False
WTCBTC,BREAK,WTC,8,BTC,8,8,True,True,True,False
WTCETH,BREAK,WTC,8,ETH,8,8,True,True,True,False
LRCBTC,TRADING,LRC,8,BTC,8,8,True,True,True,True
LRCETH,TRADING,LRC,8,ETH,8,8,True,True,True,False
QTUMBTC,TRADING,QTUM,8,BTC,8,8,True,True,True,True
YOYOBTC,BREAK,YOYO,8,BTC,8,8,True,True,True,False
OMGBTC,BREAK,OMG,8,BTC,8,8,True,True,True,False
OMGETH,BREAK,OMG,8,ETH,8,8,True,True,True,False
ZRXBTC,TRADING,ZRX,8,BTC,8,8,True,True,True,True
ZRXETH,BREAK,ZRX,8,ETH,8,8,True,True,True,False
STRATBTC,BREAK,STRAT,8,BTC,8,8,True,True,True,False
STRATETH,BREAK,STRAT,8,ETH,8,8,True,True,True,False
SNGLSBTC,BREAK,SNGLS,8,BTC,8,8,True,True,True,False
SNGLSETH,BREAK,SNGLS,8,ETH,8,8,True,True,True,False
BQXBTC,BREAK,BQX,8,BTC,8,8,True,True,True,False
BQXETH,BREAK,BQX,8,ETH,8,8,True,True,True,False
KNCBTC,TRADING,KNC,8,BTC,8,8,True,True,True,True
KNCETH,BREAK,KNC,8,ETH,8,8,True,True,True,False
FUNBTC,BREAK,FUN,8,BTC,8,8,True,True,True,False
FUNETH,BREAK,FUN,8,ETH,8,8,True,True,True,False
SNMBTC,BREAK,SNM,8,BTC,8,8,True,True,True,False
SNMETH,BREAK,SNM,8,ETH,8,8,True,True,True,False
NEOETH,BREAK,NEO,8,ETH,8,8,True,True,True,False
IOTABTC,TRADING,IOTA,8,BTC,8,8,True,True,True,True
IOTAETH,TRADING,IOTA,8,ETH,8,8,True,True,True,False
LINKBTC,TRADING,LINK,8,BTC,8,8,True,True,True,True
LINKETH,TRADING,LINK,8,ETH,8,8,True,True,True,True
XVGBTC,BREAK,XVG,8,BTC,8,8,True,True,True,False
XVGETH,TRADING,XVG,8,ETH,8,8,True,True,True,False
SALTBTC,BREAK,SALT,8,BTC,8,8,True,True,True,False
SALTETH,BREAK,SALT,8,ETH,8,8,True,True,True,False
MDABTC,BREAK,MDA,8,BTC,8,8,True,True,True,False
MDAETH,BREAK,MDA,8,ETH,8,8,True,True,True,False
MTLBTC,TRADING,MTL,8,BTC,8,8,True,True,True,True
MTLETH,BREAK,MTL,8,ETH,8,8,True,True,True,False
SUBBTC,BREAK,SUB,8,BTC,8,8,True,True,True,False
SUBETH,BREAK,SUB,8,ETH,8,8,True,True,True,False
EOSBTC,TRADING,EOS,8,BTC,8,8,True,True,True,True
SNTBTC,TRADING,SNT,8,BTC,8,8,True,True,True,False
ETCETH,TRADING,ETC,8,ETH,8,8,True,True,True,False
ETCBTC,TRADING,ETC,8,BTC,8,8,True,True,True,True
MTHBTC,BREAK,MTH,8,BTC,8,8,True,True,True,False
MTHETH,BREAK,MTH,8,ETH,8,8,True,True,True,False
ENGBTC,BREAK,ENG,8,BTC,8,8,True,True,True,False
ENGETH,BREAK,ENG,8,ETH,8,8,True,True,True,False
DNTBTC,BREAK,DNT,8,BTC,8,8,True,True,True,False
ZECBTC,TRADING,ZEC,8,BTC,8,8,True,True,True,True
ZECETH,TRADING,ZEC,8,ETH,8,8,True,True,True,False
BNTBTC,TRADING,BNT,8,BTC,8,8,True,True,True,False
ASTBTC,TRADING,AST,8,BTC,8,8,True,True,True,False
ASTETH,BREAK,AST,8,ETH,8,8,True,True,True,False
DASHBTC,TRADING,DASH,8,BTC,8,8,True,True,True,True
DASHETH,TRADING,DASH,8,ETH,8,8,True,True,True,False
OAXBTC,TRADING,OAX,8,BTC,8,8,True,True,True,False
ICNBTC,BREAK,ICN,8,BTC,8,8,True,True,True,False
BTGBTC,BREAK,BTG,8,BTC,8,8,True,True,True,False
BTGETH,BREAK,BTG,8,ETH,8,8,True,True,True,False
EVXBTC,BREAK,EVX,8,BTC,8,8,True,True,True,False
EVXETH,BREAK,EVX,8,ETH,8,8,True,True,True,False
REQBTC,TRADING,REQ,8,BTC,8,8,True,True,True,False
REQETH,BREAK,REQ,8,ETH,8,8,True,True,True,False
VIBBTC,TRADING,VIB,8,BTC,8,8,True,True,True,False
VIBETH,BREAK,VIB,8,ETH,8,8,True,True,True,False
HSRETH,BREAK,HSR,8,ETH,8,8,True,True,True,False
TRXBTC,TRADING,TRX,8,BTC,8,8,True,True,True,True
TRXETH,TRADING,TRX,8,ETH,8,8,True,True,True,True
POWRBTC,TRADING,POWR,8,BTC,8,8,True,True,True,False
POWRETH,TRADING,POWR,8,ETH,8,8,True,True,True,False
